simTime,treeId,sourceAddress,destAddress,srcMacAddress,destMacAddress,nodeDegree,residualEnergy,dataRate,signalPower,buffPktNo,label
68.723651878485,4964986,192.168.0.24,192.168.0.2,0A-AA-00-00-00-18,0A-AA-00-00-00-10,6,0.40852,36000000.0,1.06876e-11,69,1
68.72427244941,4925281,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.84049,54000000.0,6.68879e-12,0,1
68.727137552841,4965592,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.206041,48000000.0,8.13457e-12,100,0
68.728223301275,4926174,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840476,54000000.0,6.68941e-12,0,1
68.729024443065,4925646,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840469,54000000.0,6.68953e-12,0,1
68.729685584845,4926780,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840462,54000000.0,6.68963e-12,0,1
68.730526726615,4927587,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840455,54000000.0,6.68977e-12,0,1
68.732587007167,4964721,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.408365,36000000.0,1.20239e-11,65,1
68.733206517836,4966858,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.206024,48000000.0,8.12843e-12,100,0
68.733667578029,4928113,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840443,54000000.0,6.69026e-12,0,1
68.734388719746,4928384,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840436,54000000.0,6.69037e-12,0,1
68.734885051735,4966493,192.168.0.24,192.168.0.2,0A-AA-00-00-00-18,0A-AA-00-00-00-10,6,0.408301,36000000.0,1.0693e-11,64,1
68.737985902836,4966031,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.40829,36000000.0,1.20341e-11,65,1
68.738526753816,4967561,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.408284,36000000.0,1.20351e-11,66,1
68.739187324641,4928743,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.84042,54000000.0,6.69112e-12,0,1
68.740183656561,4967819,192.168.0.24,192.168.0.2,0A-AA-00-00-00-18,0A-AA-00-00-00-10,6,0.408248,36000000.0,1.06955e-11,66,1
68.741206518094,4968368,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.205983,48000000.0,8.12034e-12,100,0
68.741804227369,4929528,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840409,54000000.0,6.69153e-12,0,1
68.743625368971,4929442,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.8404,54000000.0,6.69181e-12,0,1
68.745445648746,4968900,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.40818,36000000.0,1.20481e-11,65,1
68.747726219514,4930413,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840386,54000000.0,6.69246e-12,0,1
68.748662551322,4969086,192.168.0.24,192.168.0.2,0A-AA-00-00-00-18,0A-AA-00-00-00-10,6,0.408141,36000000.0,1.06995e-11,65,1
68.749206518352,4969437,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.205962,48000000.0,8.11227e-12,100,0
68.750263122073,4930147,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840375,54000000.0,6.69285e-12,0,1
68.753504263552,4931394,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840363,54000000.0,6.69336e-12,0,1
68.754382451226,4970055,192.168.0.24,192.168.0.2,0A-AA-00-00-00-18,0A-AA-00-00-00-10,6,0.40807,36000000.0,1.07022e-11,64,1
68.755023301111,4969790,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.408064,36000000.0,1.20662e-11,65,1
68.757783871812,4931123,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840349,54000000.0,6.69403e-12,0,1
68.759005013204,4932105,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840341,54000000.0,6.69422e-12,0,1
68.761016995442,4932892,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840331,54000000.0,6.69453e-12,0,1
68.761777274211,4970932,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.407965,36000000.0,1.2079e-11,63,1
68.762514176505,4971488,192.168.0.24,192.168.0.2,0A-AA-00-00-00-18,0A-AA-00-00-00-10,6,0.407957,36000000.0,1.0706e-11,64,1
68.764914747158,4932191,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840317,54000000.0,6.69514e-12,0,1
68.76693588845,4933254,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840308,54000000.0,6.69546e-12,0,1
68.769216166814,4972019,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.407887,36000000.0,1.2093e-11,63,1
68.770816737428,4934842,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840294,54000000.0,6.69607e-12,0,1
68.772378593799,4970497,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.205826,48000000.0,8.08896e-12,99,0
68.773239632032,4971839,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.20582,48000000.0,8.0881e-12,100,0
68.773643639513,4935277,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840283,54000000.0,6.69651e-12,0,1
68.77611997096,4972290,192.168.0.24,192.168.0.2,0A-AA-00-00-00-18,0A-AA-00-00-00-10,6,0.407811,36000000.0,1.07125e-11,62,1
68.777100670417,4972809,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.205807,48000000.0,8.08422e-12,100,0
68.778382450987,4973507,192.168.0.24,192.168.0.2,0A-AA-00-00-00-18,0A-AA-00-00-00-10,6,0.4078,36000000.0,1.07136e-11,63,1
68.780893299208,4973238,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.407764,36000000.0,1.21152e-11,63,1
68.782277709145,4974038,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.205772,48000000.0,8.07903e-12,100,0
68.786066423902,4974212,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.407747,36000000.0,1.2125e-11,64,1
68.786946994409,4936158,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840248,54000000.0,6.69859e-12,0,1
68.788128135413,4936433,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.84024,54000000.0,6.69877e-12,0,1
68.789206519642,4974937,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.205733,48000000.0,8.07209e-12,100,0
68.789529276399,4937143,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840231,54000000.0,6.69899e-12,0,1
68.791856178123,4937579,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840221,54000000.0,6.69935e-12,0,1
68.792857319062,4938392,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840213,54000000.0,6.69951e-12,0,1
68.795497595861,4975635,192.168.0.1,192.168.0.2,0A-AA-00-00-00-01,0A-AA-00-00-00-10,6,0.407589,36000000.0,1.2143e-11,61,1
68.796158166306,4938654,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840201,54000000.0,6.70003e-12,0,1
68.7972065199,4976180,192.168.0.17,192.168.0.2,0A-AA-00-00-00-11,0A-AA-00-00-00-08,5,0.205691,48000000.0,8.06409e-12,100,0
68.797659307184,4939455,192.168.0.1,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840192,54000000.0,6.70026e-12,0,1
68.800195638311,4974469,192.168.0.24,192.168.0.2,0A-AA-00-00-00-18,0A-AA-00-00-00-10,6,0.40752,36000000.0,1.07239e-11,60,1
68.802036208717,4939981,192.168.0.24,192.168.0.2,0A-AA-00-00-00-10,0A-AA-00-00-00-02,6,0.840178,54000000.0,6.70094e-12,0,1
