5.56443093732,78376,192.168.0.24,192.168.0.1,0A-AA-00-00-00-18,0A-AA-00-00-00-17,4,0.988638,1.8e+07,4.71574e-12,0
5.567293574814,76900,192.168.0.17,192.168.0.1,0A-AA-00-00-00-11,0A-AA-00-00-00-0F,5,0.988541,2.4e+07,4.53397e-12,0
5.568734941219,78376,192.168.0.24,192.168.0.1,0A-AA-00-00-00-17,0A-AA-00-00-00-0E,2,0.988624,1.8e+07,5.26631e-12,0
5.569815455029,78376,192.168.0.24,192.168.0.1,0A-AA-00-00-00-0E,0A-AA-00-00-00-14,3,0.988332,6e+06,8.25613e-12,0
5.57168096226,79768,192.168.0.17,192.168.0.1,0A-AA-00-00-00-11,0A-AA-00-00-00-0F,5,0.98849,2.4e+07,4.53343e-12,0
5.576004024872,78376,192.168.0.24,192.168.0.1,0A-AA-00-00-00-14,0A-AA-00-00-00-0D,5,0.988406,1.2e+07,6.71418e-12,0
5.578512840843,78376,192.168.0.24,192.168.0.1,0A-AA-00-00-00-0D,0A-AA-00-00-00-01,2,0.988726,5.4e+07,3.27969e-12,0
5.583846693852,81288,192.168.0.17,192.168.0.1,0A-AA-00-00-00-11,0A-AA-00-00-00-0F,5,0.98842,2.4e+07,4.53191e-12,0
5.585206693865,81891,192.168.0.17,192.168.0.1,0A-AA-00-00-00-11,0A-AA-00-00-00-0F,5,0.988412,2.4e+07,4.53174e-12,1
5.587141186343,78377,192.168.0.2,192.168.0.1,0A-AA-00-00-00-02,0A-AA-00-00-00-0B,7,0.988357,6e+06,9.16695e-12,0
5.590819478701,78377,192.168.0.2,192.168.0.1,0A-AA-00-00-00-0B,0A-AA-00-00-00-0A,3,0.98729,2e+06,3.68894e-12,0
5.596875684937,80542,192.168.0.2,192.168.0.1,0A-AA-00-00-00-02,0A-AA-00-00-00-0B,7,0.988175,6e+06,9.15766e-12,0
5.601336660741,81719,192.168.0.2,192.168.0.1,0A-AA-00-00-00-02,0A-AA-00-00-00-0B,7,0.988019,6e+06,9.15341e-12,0
5.60401763671,82757,192.168.0.2,192.168.0.1,0A-AA-00-00-00-02,0A-AA-00-00-00-0B,7,0.988009,6e+06,9.15086e-12,1
5.604398612757,83554,192.168.0.2,192.168.0.1,0A-AA-00-00-00-02,0A-AA-00-00-00-0B,7,0.988003,6e+06,9.1505e-12,2
5.609934169958,83022,192.168.0.17,192.168.0.1,0A-AA-00-00-00-11,0A-AA-00-00-00-0F,5,0.988204,2.4e+07,4.52865e-12,2
5.610186488173,84944,192.168.0.2,192.168.0.1,0A-AA-00-00-00-02,0A-AA-00-00-00-0B,7,0.987951,6e+06,9.14499e-12,3
5.627017341446,79768,192.168.0.17,192.168.0.1,0A-AA-00-00-00-0F,0A-AA-00-00-00-07,5,0.988516,3.6e+07,6.34412e-12,0
5.630494513866,81288,192.168.0.17,192.168.0.1,0A-AA-00-00-00-0F,0A-AA-00-00-00-07,5,0.988503,3.6e+07,6.34578e-12,1
5.631475236844,79768,192.168.0.17,192.168.0.1,0A-AA-00-00-00-07,0A-AA-00-00-00-19,3,0.988522,3.6e+07,4.17491e-12,0
5.632056682798,81288,192.168.0.17,192.168.0.1,0A-AA-00-00-00-07,0A-AA-00-00-00-19,3,0.988516,3.6e+07,4.17492e-12,1
5.634306488786,85792,192.168.0.2,192.168.0.1,0A-AA-00-00-00-02,0A-AA-00-00-00-0B,7,0.987685,6e+06,9.12209e-12,3
5.63521313203,81891,192.168.0.17,192.168.0.1,0A-AA-00-00-00-0F,0A-AA-00-00-00-07,5,0.988434,3.6e+07,6.34804e-12,0
